name,importance
timestamp,8640
msno_artist_name_prob,5504
msno_till_now_cnt,5022
song_embeddings_dot,4807
msno_50000_before_cnt,4647
msno_50000_after_cnt,4640
msno_source_prob,4341
msno_xxx_prob,4198
song_source_screen_name_prob,4153
song_source_type_prob,4146
msno_source_type_prob,4136
song_id,4111
song_length,3927
msno,3917
msno_timestamp_std,3757
msno_year_prob,3756
song_source_system_tab_prob,3740
msno_source_screen_name_prob,3622
repeat_play_chance,3578
msno_source_system_tab_prob,3531
membership_days,3511
member_component_44,3486
member_component_28,3479
artist_embeddings_dot,3447
member_component_32,3425
member_component_47,3410
msno_upper_time,3408
member_component_42,3396
member_component_38,3395
msno_first_genre_id_prob,3395
member_component_46,3384
member_component_45,3377
member_component_41,3362
member_component_39,3358
member_component_34,3350
member_component_35,3322
member_component_26,3316
member_component_37,3307
member_component_36,3301
member_component_43,3294
member_component_24,3280
msno_language_prob,3257
member_component_25,3254
member_component_17,3235
member_component_21,3226
member_component_31,3220
member_component_29,3219
member_component_20,3218
song_timestamp_std,3213
member_component_15,3199
msno_lower_time,3191
member_component_22,3190
member_component_19,3181
member_component_16,3181
member_component_40,3171
msno_song_length_std,3169
member_component_33,3162
member_component_30,3159
member_component_18,3159
member_artist_component_14,3142
member_component_7,3131
member_artist_component_9,3110
member_artist_component_15,3098
song_lower_time,3097
member_component_23,3085
msno_artist_song_cnt_std,3085
msno_source_type_3,3083
member_component_13,3083
song_component_38,3074
member_artist_component_10,3073
member_component_27,3071
msno_10000_before_cnt,3060
member_component_14,3053
member_artist_component_12,3038
member_component_8,3035
member_component_6,3023
member_component_10,3014
member_artist_component_11,3012
song_component_46,2983
msno_source_screen_name_17,2976
member_component_12,2967
song_component_41,2965
member_artist_component_7,2963
member_component_11,2956
song_component_45,2955
msno_artist_song_cnt_mean,2952
member_artist_component_8,2931
member_artist_component_13,2913
song_component_40,2912
member_artist_component_6,2911
song_component_33,2899
msno_source_type_8,2877
artist_name,2875
msno_10000_after_cnt,2874
member_component_9,2874
song_upper_time,2872
msno_song_rec_cnt_std,2870
song_component_47,2869
msno_timestamp_mean,2864
song_component_37,2857
song_component_42,2849
song_component_44,2848
song_component_43,2841
song_component_35,2838
song_component_23,2820
msno_5000_before_cnt,2812
msno_year_std,2803
song_component_21,2802
msno_source_type_10,2780
msno_language_4,2776
song_component_30,2772
song_component_36,2752
song_component_24,2751
song_component_26,2748
song_component_32,2739
song_component_39,2724
member_component_2,2721
member_component_3,2717
msno_source_screen_name_11,2715
song_component_34,2713
song_component_22,2705
msno_artist_rec_cnt_std,2701
member_component_5,2695
msno_language_5,2695
member_artist_component_4,2670
song_component_25,2660
msno_language_3,2655
song_component_14,2653
song_component_28,2653
msno_language_0,2651
song_component_29,2630
song_component_13,2629
song_timestamp_mean,2626
song_component_27,2608
song_component_19,2604
msno_source_type_4,2599
msno_5000_after_cnt,2584
song_component_15,2578
song_component_31,2575
composer,2561
member_artist_component_3,2554
song_component_16,2547
song_component_12,2537
msno_rec_cnt,2533
msno_song_length_mean,2528
song_component_11,2528
artist_component_13,2525
msno_song_rec_cnt_mean,2522
song_component_18,2519
song_component_9,2508
song_component_8,2500
member_artist_component_2,2497
song_component_17,2486
member_artist_component_5,2478
registration_date,2469
msno_source_screen_name_0,2469
msno_language_2,2445
song_component_5,2421
member_component_0,2417
song_component_20,2408
msno_language_8,2404
song_component_6,2402
artist_song_cnt,2400
song_component_7,2389
member_component_4,2380
artist_component_15,2377
msno_artist_rec_cnt_mean,2369
msno_source_type_0,2367
msno_year_mean,2366
artist_component_10,2358
song_component_10,2339
xxx,2309
msno_source_system_tab_6,2296
artist_component_8,2290
song_component_4,2279
artist_component_14,2259
msno_source_screen_name_8,2259
artist_component_9,2250
artist_component_6,2225
artist_component_7,2221
msno_source_system_tab_3,2214
msno_source_type_6,2211
song_component_2,2205
artist_component_12,2203
composer_rec_cnt,2201
source,2190
msno_source_system_tab_0,2156
artist_component_11,2144
member_artist_component_1,2144
member_component_1,2115
artist_component_2,2102
artist_component_4,2093
registration_init_time,2077
time_spent,2071
msno_source_type_9,2060
song_component_3,2044
msno_language_1,2030
xxx_song_cnt,2007
artist_component_3,2001
artist_component_5,1994
composer_song_cnt,1969
msno_source_screen_name_1,1956
member_artist_component_0,1945
song_till_now_cnt,1933
xxx_rec_cnt,1925
msno_source_screen_name_4,1924
song_component_1,1801
artist_rec_cnt,1752
artist_component_1,1700
lyricist,1687
lyricist_rec_cnt,1638
msno_source_screen_name_3,1632
time_left,1520
bd,1463
registration_month,1462
source_screen_name,1354
msno_source_screen_name_21,1349
source_type,1334
song_50000_after_cnt,1327
lyricist_song_cnt,1324
artist_component_0,1317
song_50000_before_cnt,1207
city,1182
msno_source_screen_name_9,1179
song_component_0,1158
msno_500_after_cnt,1147
msno_source_screen_name_19,1089
msno_source_system_tab_5,1081
msno_500_before_cnt,1060
plays,1043
song_rec_cnt,1022
msno_source_screen_name_18,1011
msno_source_screen_name_5,999
msno_source_screen_name_10,995
year,939
msno_source_type_7,904
msno_source_screen_name_16,881
expiration_month,858
msno_25_after_cnt,801
msno_10_before_cnt,748
msno_10_after_cnt,717
song_10000_before_cnt,713
year_song_cnt,713
song_10000_after_cnt,709
msno_25_before_cnt,683
msno_source_system_tab_1,639
cn,607
first_genre_id,595
genre_song_cnt,590
song_5000_after_cnt,589
msno_source_system_tab_2,589
song_5000_before_cnt,568
msno_source_screen_name_6,551
msno_source_type_2,542
msno_language_9,541
msno_source_screen_name_12,532
genre_rec_cnt,518
registration_year,505
cn_song_cnt,493
msno_source_screen_name_7,438
registered_via,428
expiration_date,425
msno_source_system_tab_4,349
cn_rec_cnt,346
composer_cnt,300
gender,248
source_system_tab,235
language,233
year_rec_cnt,214
lyricist_cnt,181
song_500_after_cnt,170
song_500_before_cnt,170
msno_language_7,160
expiration_year,151
msno_source_type_11,134
msno_source_system_tab_7,91
second_genre_id,89
bd_missing,56
msno_language_6,55
msno_source_type_1,46
artist_cnt,26
isrc_missing,21
third_genre_id,18
msno_source_screen_name_20,15
is_featured,14
genre_id_cnt,11
song_25_after_cnt,10
song_10_before_cnt,8
song_25_before_cnt,8
song_10_after_cnt,6
msno_source_screen_name_15,5
msno_source_screen_name_2,4
msno_source_screen_name_13,4
msno_source_type_5,0
song_id_missing,0
msno_source_screen_name_14,0
